Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Wed Oct 03 06:40:45 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Senate Majority Leader Mitch McConnell on allegations against Brett Kavanaugh: ""What I can tell you with certainty… https://t.co/gJB2g4jrxR",8
-0.422,Wed Oct 03 06:31:04 +0000 2018,0.157,0.843,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Police say two men broke into a UPS facility in Memphis and stole 400 guns https://t.co/2c1QNTQIBb https://t.co/HTX42LS49G,9
0.0,Wed Oct 03 06:16:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Germany's Bayern Munich is exploring the relationship between crowd noise and on-pitch performance. Using acoustic… https://t.co/k085tNu1ux,10
-0.382,Wed Oct 03 06:15:03 +0000 2018,0.204,0.796,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Aerial photos show just how close a US Navy ship came to colliding with a Chinese warship that had challenged the U… https://t.co/qvtxgOtkjN,11
-0.178,Wed Oct 03 06:01:40 +0000 2018,0.147,0.736,0.117,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Two prosecutors who worked on Paul Manafort's criminal cases are ending their tenure working for special counsel Ro… https://t.co/IQozdy9vTV,12
0.44,Wed Oct 03 06:01:03 +0000 2018,0.0,0.804,0.196,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",LAX will permit fliers to bring small amounts of legal marijuana through security in their carry-on bags… https://t.co/IEIgeZYGeE,13
-0.128,Wed Oct 03 05:46:00 +0000 2018,0.077,0.923,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This district in West Virginia voted overwhelmingly for President Trump in the 2016 election. But now, a Democrat n… https://t.co/cmonLVJ2sq",14
0.0,Wed Oct 03 05:31:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Apple is finally getting a llama emoji -- and a raccoon, bagel, frisbee and mosquito, too. Here's what to know abou… https://t.co/vZtjy4rMl3",15
0.7,Wed Oct 03 05:16:00 +0000 2018,0.0,0.726,0.274,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Sen. Bernie Sanders praises Jeff Bezos after Amazon announced it is raising its minimum wage at both Amazon and Who… https://t.co/7APNWmWhUP,16
-0.34,Wed Oct 03 05:01:05 +0000 2018,0.13,0.87,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",An off-duty border patrol agent planned to shoot a rifle at a target containing a highly explosive substance reveal… https://t.co/n1yfFFmyAZ,17
0.0,Wed Oct 03 04:46:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Brazilian surfer Maya Gabeira just set a new Guinness World Record for the largest wave ever surfed by a woman… https://t.co/KHPcKegCxZ,18
-0.681,Wed Oct 03 04:31:04 +0000 2018,0.203,0.797,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""I know the name of the boy who assaulted me. I have no reason to disrupt his life, even though mine has been upend… https://t.co/mGvybpTN4E",19
0.0,Wed Oct 03 04:16:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Lake Tahoe visitors can now explore the lake's underwater exhibits via the Emerald Bay Maritime Heritage Trail… https://t.co/DfE0akZ6YG,20
-0.74,Wed Oct 03 07:35:43 +0000 2018,0.323,0.608,0.069,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Desperation is growing in the stricken Indonesian city of Palu, as residents face a fourth day without adequate foo… https://t.co/tDP51kxSAq",21
0.178,Wed Oct 03 07:31:04 +0000 2018,0.067,0.837,0.096,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There’s no way to know the fate of Brett Kavanaugh’s Supreme Court nomination, but here are four ways it could play… https://t.co/MLrFb1lGfQ",22
0.273,Wed Oct 03 07:12:02 +0000 2018,0.0,0.87,0.13,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The creation myth of the billionaire businessman Donald Trump just imploded | Analysis by @cillizzacnn… https://t.co/TRRfVJdqEP,23
0.128,Wed Oct 03 07:02:40 +0000 2018,0.088,0.763,0.149,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Travelers arriving in New Zealand could now face a fine of up to $3,200 (5,000 NZD) if they refuse to allow border… https://t.co/ReelDnxely",24
0.226,Wed Oct 03 07:01:04 +0000 2018,0.0,0.917,0.083,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Thailand's Maya Bay, made popular by the film ""The Beach,"" was due to reopen this month, but now will remain closed… https://t.co/5fQcn2dM1a",25
0.0,Wed Oct 03 06:53:47 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Here's how much fast food Americans are eating https://t.co/0zQfx4SO7S https://t.co/d8wNOVKJDt,26
-0.402,Wed Oct 03 06:48:25 +0000 2018,0.144,0.856,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump's mocking of Christine Blasey Ford during a campaign rally could make Senate Majority Leader Mitch… https://t.co/5m1SCYTXs1,27
0.0,Wed Oct 03 06:40:45 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Senate Majority Leader Mitch McConnell on allegations against Brett Kavanaugh: ""What I can tell you with certainty… https://t.co/gJB2g4jrxR",28
-0.422,Wed Oct 03 06:31:04 +0000 2018,0.157,0.843,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Police say two men broke into a UPS facility in Memphis and stole 400 guns https://t.co/2c1QNTQIBb https://t.co/HTX42LS49G,29
0.0,Wed Oct 03 06:16:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Germany's Bayern Munich is exploring the relationship between crowd noise and on-pitch performance. Using acoustic… https://t.co/k085tNu1ux,30
-0.382,Wed Oct 03 06:15:03 +0000 2018,0.204,0.796,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Aerial photos show just how close a US Navy ship came to colliding with a Chinese warship that had challenged the U… https://t.co/qvtxgOtkjN,31
-0.178,Wed Oct 03 06:01:40 +0000 2018,0.147,0.736,0.117,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Two prosecutors who worked on Paul Manafort's criminal cases are ending their tenure working for special counsel Ro… https://t.co/IQozdy9vTV,32
0.44,Wed Oct 03 06:01:03 +0000 2018,0.0,0.804,0.196,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",LAX will permit fliers to bring small amounts of legal marijuana through security in their carry-on bags… https://t.co/IEIgeZYGeE,33
-0.128,Wed Oct 03 05:46:00 +0000 2018,0.077,0.923,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This district in West Virginia voted overwhelmingly for President Trump in the 2016 election. But now, a Democrat n… https://t.co/cmonLVJ2sq",34
0.0,Wed Oct 03 05:31:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Apple is finally getting a llama emoji -- and a raccoon, bagel, frisbee and mosquito, too. Here's what to know abou… https://t.co/vZtjy4rMl3",35
0.7,Wed Oct 03 05:16:00 +0000 2018,0.0,0.726,0.274,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Sen. Bernie Sanders praises Jeff Bezos after Amazon announced it is raising its minimum wage at both Amazon and Who… https://t.co/7APNWmWhUP,36
-0.34,Wed Oct 03 05:01:05 +0000 2018,0.13,0.87,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",An off-duty border patrol agent planned to shoot a rifle at a target containing a highly explosive substance reveal… https://t.co/n1yfFFmyAZ,37
0.0,Wed Oct 03 04:46:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Brazilian surfer Maya Gabeira just set a new Guinness World Record for the largest wave ever surfed by a woman… https://t.co/KHPcKegCxZ,38
-0.681,Wed Oct 03 04:31:04 +0000 2018,0.203,0.797,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""I know the name of the boy who assaulted me. I have no reason to disrupt his life, even though mine has been upend… https://t.co/mGvybpTN4E",39
0.0,Wed Oct 03 04:16:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Lake Tahoe visitors can now explore the lake's underwater exhibits via the Emerald Bay Maritime Heritage Trail… https://t.co/DfE0akZ6YG,40
0.511,Wed Oct 03 04:01:03 +0000 2018,0.0,0.858,0.142,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Which world leader do people trust most? Here are findings from a new global survey by the Pew Research Center.

An… https://t.co/mhfrG2kR28",41
0.178,Wed Oct 03 03:46:08 +0000 2018,0.067,0.837,0.096,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There’s no way to know the fate of Brett Kavanaugh’s Supreme Court nomination, but here are four ways it could play… https://t.co/iHueesZb3z",42
0.0,Wed Oct 03 03:31:57 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","What's going on in the South China Sea?

China's man-made islands, complete with airstrips and radar towers, have s… https://t.co/WOHd93B88k",43
-0.44,Wed Oct 03 03:31:07 +0000 2018,0.121,0.879,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Donte Palmer isn't the only dad who's had to squat on a dirty restroom floor to change his baby's diaper.

He's jus… https://t.co/LDH9LLtciq",44
0.727,Wed Oct 03 03:16:06 +0000 2018,0.0,0.717,0.283,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Amazon is increasing its minimum wage to $15 an hour for all US employees effective November 1. The increase applie… https://t.co/4jHhWWIwfr,45
0.318,Wed Oct 03 03:02:13 +0000 2018,0.0,0.892,0.108,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Chinese actress Fan Bingbing has been fined for tax evasion, according to state media.

It's the first public prono… https://t.co/b8pIGrxwEs",46
0.0,Wed Oct 03 03:01:06 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Former New York city mayor and billionaire Michael Bloomberg is putting $20 million behind Democratic efforts to fl… https://t.co/UKKkCLkq8R,47
-0.318,Wed Oct 03 02:56:03 +0000 2018,0.108,0.892,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @CNNTonight: President Donald Trump for the first time directly mocked Christine Blasey Ford's testimony before the Senate Judiciary Com…,48
0.0,Wed Oct 03 02:46:07 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Apple is finally getting a llama emoji -- and a raccoon, bagel, frisbee and mosquito, too. Here's what to know abou… https://t.co/Nuiotp9Kps",49
-0.299,Wed Oct 03 02:45:48 +0000 2018,0.164,0.748,0.088,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @CuomoPrimeTime: .@chriscuomo: Trump is not good at business. He is good at selling what helps him. He is all about the sell and always…,50
0.0,Wed Oct 03 02:45:42 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Former Attorney General Eric Holder said he has ""never seen a president talk to the attorney general"" the way Presi… https://t.co/L1cnuKJCFR",51
0.0,Wed Oct 03 02:36:10 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The hunt for Planet X has turned up an extremely distant object dubbed ""the Goblin."" Its elongated orbit suggests t… https://t.co/tbzE1gazfP",52
0.0,Wed Oct 03 02:31:10 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",When a Nobel is about more than science | By Don Lincoln via @CNNOpinion https://t.co/jPrHeDCPOf https://t.co/TqeP3toFz2,53
